UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL203001,2643,16269,15455,4637,2295,41298,556,41851
UCL203002,2199,14319,14756,4870,2615,38765,510,39271
UCL203003,4620,26167,26839,7401,3816,68839,944,69783
UCL211001,744,5200,5762,1771,865,14343,353,14696
UCL211002,1095,8398,9872,3196,1658,24214,444,24655
UCL212001,325,2580,3114,1159,685,7866,100,7964
UCL212002,363,2024,2015,650,328,5388,113,5505
UCL212003,1001,5219,4994,1556,704,13482,327,13808
UCL212004,177,2507,3800,1070,448,8008,96,8107
UCL212005,1060,6565,6730,2326,1188,17868,377,18240
UCL212006,535,4176,5714,2065,1232,13728,137,13864
UCL212007,130,2227,3904,1056,547,7858,59,7922
UCL212008,631,3981,4171,1299,649,10734,158,10889
UCL212009,760,4990,5009,1466,718,12943,197,13131
UCL213001,382,2197,1966,619,313,5474,128,5602
UCL213002,290,1918,1457,430,242,4342,70,4414
UCL213003,388,1851,1745,581,310,4870,115,4985
UCL213004,181,1902,2243,745,410,5479,73,5553
UCL213005,151,2270,2680,830,444,6381,61,6438
UCL213006,73,924,1700,580,399,3681,20,3698
UCL213007,467,2462,2473,845,361,6610,110,6719
UCL213008,152,1709,2504,842,445,5644,49,5695
UCL213009,115,1464,2004,663,353,4591,40,4635
UCL213010,737,2729,2008,740,364,6582,177,6756
UCL213011,582,2468,1766,484,243,5543,165,5712
