UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115014,6,4,11,6,10,6,3,0,0,34,5,5,3,5,15,11,6,0,0,43,95,57,177,266,339,273,90,18,0,1303
UCL115015,0,0,4,3,0,10,0,0,0,17,0,5,4,9,4,14,4,3,0,44,26,36,97,112,132,163,60,8,0,638
UCL115016,3,0,4,3,0,0,0,0,0,11,0,3,3,6,0,3,0,0,0,18,32,38,86,91,111,99,26,3,0,494
UCL115017,0,0,8,19,7,5,0,0,0,40,5,4,4,7,0,9,4,0,0,32,41,34,132,210,174,195,74,10,0,883
UCL115018,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,10,18,25,34,43,51,78,35,6,0,287
UCL115019,0,0,6,8,19,11,7,0,0,51,7,0,11,15,13,15,6,0,0,61,57,63,261,371,449,468,179,25,3,1870
UCL115020,3,7,20,3,11,11,3,0,0,56,3,5,7,9,13,13,3,0,0,48,91,132,319,220,243,225,68,5,0,1294
UCL115021,0,3,4,0,0,0,0,0,0,10,0,0,9,4,0,3,3,0,0,27,30,38,97,99,94,94,41,9,0,500
UCL115022,6,8,3,5,6,11,3,0,0,38,4,3,4,4,13,3,0,0,0,35,128,91,122,228,349,278,67,3,3,1262
UCL115023,0,3,3,3,4,0,0,0,0,15,5,0,4,5,5,3,7,0,0,28,19,46,90,72,110,105,41,3,0,495
UCL115024,3,5,0,0,0,4,0,0,0,13,0,3,8,0,14,4,3,0,0,32,23,57,154,116,115,101,30,5,0,602
UCL115025,0,0,13,7,6,0,3,0,0,29,3,0,6,4,10,3,0,0,0,28,58,68,158,179,181,135,39,3,0,816
UCL115026,0,0,0,5,4,0,0,0,0,11,0,0,0,6,8,0,0,0,0,20,28,32,103,118,123,118,56,14,0,600
UCL115027,7,10,26,12,13,3,3,0,0,82,0,3,19,10,7,5,0,0,0,59,98,134,383,354,265,144,45,6,0,1425
UCL115028,0,0,3,6,9,0,0,0,0,35,5,5,5,6,6,11,5,0,0,43,84,69,147,208,261,239,48,0,0,1063
UCL115029,0,0,9,11,4,0,0,0,0,24,9,6,5,6,5,4,5,0,0,36,39,57,148,162,175,137,50,9,0,768
UCL115030,0,0,0,3,5,6,0,0,0,10,3,4,0,8,3,0,0,0,0,21,36,22,55,49,92,99,22,0,0,380
UCL115031,3,0,6,10,10,4,11,0,0,42,3,0,3,7,4,16,7,4,0,48,68,47,134,168,235,249,120,21,0,1035
